INAME	GENE	CHROMO	HongGuo SK1 mitosis MycMcd1 ChIP +NZ 	HongGuo SK1 mitosis NZ MycMcd1p ChIP
YPL068C		16	  0.82	  0.77
iOx559I		15	  1.10	
iIx119I		9	  0.72	  0.75
YLR228C	ECM22	12	  2.12	  2.16
YGR013W	SNU71	7	  1.38	  1.25
iOx225I				  0.61
iKx302I		11	  0.66	  0.55
YER099C	PRS2	5	  0.80	  0.81
YML102W	CAC2	13	  0.46	  0.41
iDx173I		4	  0.53	  0.52
iHx096I		8	  1.14	  0.99
YGR282C	BGL2	7	  1.40	  1.45
YKL188C	PXA2	11	  1.47	  1.46
iDx239I		4	  3.63	  3.68
YBL050W	SEC17	2	  1.09	  0.92
iNx268I		14	  0.61	  0.66
iJx345I		10	  0.93	  0.97
iPx451I		16	  1.64	  1.91
iJx011I		10	  0.95	  0.93
YLR162W		12	  0.59	  0.57
YMR120C	ADE17	13	  1.20	  1.14
YML103C	NUP188	13	  0.96	  0.96
iPx517I		16	  1.11	  1.16
YBL051C		2	  0.73	  0.70
iOx494I		15	  0.85	  0.77
iIx054I		9	  0.79	  0.72
iEx131I		5	  1.02	  0.95
iOx160I		15	  1.30	  1.37
YPL069C	BTS1	16	  1.66	  1.68
YLR229C	CDC42	12	  0.59	  0.56
YGR014W	MSB2	7	  1.98	  2.54
iOx226I		15	  0.63	  0.43
iKx303I		11	  1.63	  1.90
iHx097I		8	  0.45	  0.47
iDx174I		4	  0.54	  0.44
YGR283C		7	  0.62	  0.71
iJx280I		10	  0.90	  0.93
YBR134W		2	  0.71	  0.51
iNx269I		14	  0.88	  0.70
YFR057W		7	  1.00	  1.04
YGR015C		7	  3.14	  3.80
iJx012I		10	  0.96	  0.80
iPx452I		16	  1.36	  1.17
YPR086W	SUA7	16	  1.21	  1.34
YMR121C	RPL15B	13	  0.65	  0.64
YML104C	MDM1	13	  0.91	  1.14
YBL052C	SAS3	2	  2.73	  2.64
iOx495I		15	  0.34	  0.38
iIx055I		9	  0.79	  0.75
iEx132I		5	  0.81	  0.80
YKL189W	HYM1	11	  1.27	  1.43
iOx161I		15	  0.93	  1.09
YNL330C	RPD3	14	  1.02	  0.98
iOx227I		15	  0.71	  0.71
iKx304I		11	  1.08	  1.09
iHx098I		8	  0.30	  0.28
iDx175I		4	  1.05	  0.98
YGR284C		7	  0.62	  0.56
iJx281I		10	  0.46	  0.42
YCL010C		3	  2.08	  2.16
YBR135W	CKS1	2	  0.76	  0.81
iJx347I		10	  1.14	  0.97
iJx013I				  0.36
YLR164W				  1.15
iPx453I		16	  1.84	  1.62
iLx530I		12	  1.59	  1.71
YPR087W		16	  1.37	  1.37
YMR122C		13	  0.43	  0.36
YML105C	SEC65	13	  3.20	  2.90
YBR070C		2	  0.67	  0.57
iOx496I		15	  0.67	  0.65
iIx056I		9	  0.59	  0.61
iEx133I		5	  2.45	  2.67
YPR088C	SRP54	16	  0.73	  0.80
iOx162I		15	  0.45	  0.38
YNL331C	AAD14	14	  1.02	  0.97
iOx228I		15	  1.29	  1.30
iKx305I		11	  1.09	  1.09
YGR016W		7	  1.60	  1.74
iHx099I		8	  2.70	  2.60
iDx176I		4	  0.95	  0.87
YGR285C	ZUO1	7	  0.69	  0.62
iJx282I		10	  0.95	  0.93
YBL053W		2	  4.78	  5.49
YCL011C	GBP2	3	  4.61	  4.46
YBR136W	ESR1	2	  1.15	  1.18
iJx348I		10	  1.22	  0.90
iPx454I				  0.56
iLx531I		12	  0.65	  0.61
iJx014I		10	  0.65	  0.84
iPx120I		16	  1.07	  1.28
iOx497I		15	  0.83	  0.89
iIx057I		9	  1.20	  1.29
iEx134I		5	  1.46	  1.35
YLR166C	SEC10	12	  0.95	  0.95
YDR320C		4	  0.70	  0.71
iKx240I				  1.29
iOx163I		15	  0.73	  0.77
iOx229I		15	  1.10	  1.08
iKx306I		11	  1.01	  1.06
YML040W		13	  1.03	  0.98
YGR017W		7	  1.41	  1.32
YMR123W	PKR1	13	  0.67	  0.53
iDx177I		4	  0.93	  0.80
YML106W	URA5	13	  1.67	  1.45
YGR286C	BIO2	7	  1.17	  1.04
YBR071W		2	  0.53	  0.57
iJx283I		10	  0.88	  0.88
YBL054W		2	  0.94	  0.95
YBR137W		2	  1.84	  2.05
iJx349I		10	  1.13	  1.20
YGR018C		7	  1.25	
YML041C		13	  1.33	  1.07
iPx455I		16	  0.58	  0.66
iLx532I		12	  0.83	
iJx015I		10	  1.11	  1.07
YPR089W		16	  0.54	  0.54
iPx121I		16	  0.62	
YML107C		13	  1.18	  1.34
YNL332W	THI12	14	  1.43	  1.46
YBL055C		2	  0.84	  0.77
YBR138C	HDR1	2	  1.65	  1.53
iOx498I		15	  0.69	  0.68
iIx058I		9	  1.24	  1.14
iEx135I		5	  0.92	  0.93
iOx164I		15	  1.12	  0.95
iKx241I		11	  0.77	  0.85
YCL012W		3	  7.57	 10.46
iKx307I		11	  0.75	  0.71
YMR124W		13	  0.64	  0.60
iDx178I		4	  0.48	  0.37
YGR287C		7	  1.64	  1.72
YBR072W	HSP26	2	  0.75	  0.70
iJx284I		10	  0.67	  0.64
YCR030C		3	  1.11	  1.05
iPx390I		16	  0.60	  0.49
YDR321W	ASP1	4	  0.72	  0.85
iPx456I		16	  1.53	  1.18
iLx533I		12	  1.50	  1.10
iJx016I		10	  0.83	  0.82
YLR167W	RPS31	12	  0.84	  0.83
iPx122I		16	  1.15	  1.14
YNL333W	SNZ2	14	  0.86	  0.84
iEx070I		5	  1.38	  1.44
iOx499I		15	  1.10	  1.14
iIx059I		9	  1.14	  1.04
iEx136I		5	  0.87	  0.73
YLR168C	MSF1'	12	  1.27	  1.21
iOx165I		15	  3.15	  3.02
iKx242I		11	  2.30	  1.83
YCL013W		3	  5.11	  6.07
YNL334C	SNO2	14	  1.02	  1.06
iKx308I		11	  0.68	  0.59
YML042W	CAT2	13	  0.92	  0.95
YGR019W	UGA1	7	  1.55	  1.41
YMR125W	STO1	13	  1.07	  1.01
iDx179I		4	  1.00	  0.91
YML108W		13	  0.64	
YBR073W	RDH54	2	  0.64	  0.68
iJx285I		10	  0.80	  0.88
YBL056W	PTC3	2	  0.87	  0.83
YCR031C	RPS14A	3	  0.77	  0.74
iPx391I		16	  2.57	  2.78
YMR060C	TOM37	13	  0.71	  0.63
YBR139W		2	  2.15	  2.28
YML043C	RRN11	13	  0.79	  0.74
YDR322W	MRPL35	4	  1.12	  1.07
iJx017I		10	  1.72	  1.48
iLx534I		12	  0.98	  1.04
YMR126C		13	  1.39	  1.42
iPx123I		16	  0.75	  0.66
iLx200I		12	  1.44	  1.38
iEx071I		5	  1.62	  1.91
YBL057C		2	  1.22	  1.00
iEx137I		5	  0.87	  0.65
YGR288W	MAL13	7	  4.06	
YDR323C	PEP7	4	  0.83	  0.80
iOx166I		15	  1.03	  0.90
iKx243I		11	  1.54	  1.28
iGx320I		7	  1.93	  1.94
YCL014W	BUD3	3	  2.33	  2.38
iKx309I		11	  0.64	  0.65
YIL120W		9	  0.82	  0.78
YML109W	ZDS2	13	  0.81	  0.81
YBR074W		2	  0.59	  0.61
iJx286I		10	  1.06	  1.09
iPx392I		16	  1.25	
YHR180W		8	  0.95	  1.09
YDL240W	LRG1	4	  1.05	  1.04
iPx458I		16	  1.25	  1.00
iLx535I		12	  0.70	  0.77
iJx018I		10	  2.33	  2.48
YMR127C	SAS2	13	  0.67	  0.59
iPx124I		16	  0.74	  0.66
iLx201I		12	  0.88	  0.88
YOR310C	NOP58	15	  1.00	  1.01
YNL335W		14	  1.11	  0.99
YNL001W	DOM34	13	  9.91	 11.61
iEx072I		5	  1.22	  1.16
iEx138I		5	  0.76	  0.76
YDR324C		4	  0.60	  0.51
YNL270C	ALP1	14	  0.44	  0.44
YCR032W	BPH1	3	  1.35	  1.36
iOx167I		15	  1.28	  1.55
iKx244I		11	  0.80	  0.80
iGx321I		7	  0.96	  0.84
YMR061W	RNA14	13	  0.79	  0.90
YIL121W		9	  2.53	
YNL002C	RLP7	13	  5.20	  5.73
iJx287I		10	  1.01	  0.91
YBR075W		2	  0.91	
YBL058W	SHP1	2	  0.85	  0.78
iLx470I				  0.40
iPx393I		16	  1.09	  0.85
iFx030I		6	  1.45	  1.41
YHR181W		8	  0.81	  0.83
YCL016C		3	  1.25	  1.28
YMR062C	ECM40	13	  1.01	  0.99
YDL241W		4	  0.71	  0.59
YFR024C-A		6	  0.96	  1.11
iPx459I		16	  0.67	  0.71
iLx536I		12	  0.95	  0.77
iJx019I		10	  1.01	  1.03
iPx125I		16	  1.10	  1.07
iLx202I		12	  0.69	  0.52
YOR311C		15	  0.60	  0.79
YNL336W	COS1	14	  1.00	  0.95
iGx590I		7	  0.75	  0.72
iEx073I		5	  1.11	  0.92
iEx139I		5	  1.06	  0.86
YNL271C	BNI1	14	  0.81	  0.86
YCR033W		3	  1.38	  1.44
iOx168I		15	  1.19	  0.92
iKx245I		11	  1.71	  1.57
iGx322I		7	  2.03	  2.07
YNR020C		14	  0.91	  0.83
YIL122W		9	  1.01	  0.92
YML045W		13	  1.06	  0.95
YNL003C	PET8	13	 10.52	 10.57
YMR128W	ECM16	13	  0.58	  0.64
iJx288I		10	  0.77	  0.91
YBR076W	ECM8	2	  1.71	  1.85
YBL059W		2	  0.81	  0.75
iLx471I		12	  0.75	  0.66
iFx031I		6	  1.04	  1.12
YHR182W		8	  1.66	  1.78
YCL017C	NFS1	3	  2.77	  3.03
YDL242W		4	  1.09	  0.89
iPx060I		16	  0.55	  0.52
iLx537I		12	  0.51	  0.49
YDR325W	YCG1	4	  1.34	  1.28
iPx126I		16	  0.88	  0.69
iLx203I		12	  0.52	  0.45
YOR312C	RPL20B	15	  0.70	  0.72
YNL337W		14	  1.60	  1.50
YBR077C		2	  0.67	
iGx591I		7	  2.62	  2.84
iEx074I		5	  0.91	  0.87
YDR260C	SWM1	4	  0.77	  0.74
YDL243C				  0.92
iKx180I		11	  1.10	  1.21
YDR326C		4	  1.08	  1.16
YNL272C	SEC2	14	  1.71	  1.56
YCR034W	FEN1	3	  2.70	  3.00
iOx169I		15	  1.52	  1.52
iKx246I		11	  0.88	  0.77
iGx323I		7	  1.19	  1.56
YMR063W	RIM9	13	  0.54	  0.50
YIL123W	SIM1	9	  1.01	  0.99
YML046W	PRP39	13	  0.77	  0.73
YMR129W	POM152	13	  0.87	  1.10
iJx289I		10	  0.97	  1.20
YCR035C	RRP43	3	  1.27	  1.13
iPx395I		16	  0.69	  0.58
iFx032I		6	  0.40	  0.34
YHR183W	GND1	8	  1.15	  1.31
iPx061I		16	  1.66	  2.10
YML047C		13	  0.69	  0.67
iLx538I		12	  1.61	  1.34
iPx127I		16	  0.99	  0.95
iLx204I		12	  2.52	  2.54
YOR313C	SPS4	15	  0.64	  0.68
YNL338W		14	  1.49	  1.25
YNR021W		14	  0.71	  0.72
YNL004W	HRB1	13	  6.26	  7.44
iGx592I		7	  0.66	  0.68
iEx075I		5	  0.97	  0.84
YDR261C	EXG2	4	  1.34	  1.08
iKx181I		11	  0.91	  1.06
iKx247I		11	  1.36	  1.49
iGx324I		7	  0.66	  0.71
YCL018W	LEU2	3	  2.02	  1.77
iMx430I		13	  0.82	  0.80
YNL339C	YRF1-6	14	  1.01	  1.07
YMR064W	AEP1	13	  0.53	  0.52
YNR022C		14	  0.93	  0.87
YIL124W	AYR1	9	  0.71	  0.74
YNL005C	MRP7	13	  4.72	  5.24
YBR078W	ECM33	2	  1.28	  1.21
iBx110I		2	  1.34	  1.51
iPx396I		16	  0.87	  0.78
iLx473I		12	  0.48	  0.49
iFx033I		6	  0.52	  0.53
YHR184W	SSP1	8	  0.61	  0.70
YDL244W	THI13	4	  1.30	
iPx062I		16	  0.90	  1.07
iLx539I		12	  0.99	  0.95
YDR327W		4	  0.70	  0.61
YNL273W	TOF1	14	  1.44	  1.36
iPx128I		16	  0.59	  0.62
iLx205I		12	  0.85	  0.86
YBR079C	RPG1	2	  0.95	  1.22
iGx593I		7	  0.72	  0.63
iEx076I		5	  0.75	
YHR185C	ADY1	8	  0.78	  0.93
iKx182I		11	  1.77	  1.78
YDL245C	HXT15	4	  0.82	  0.79
YDR328C	SKP1	4	  0.60	  0.49
YNL274C		14	  1.62	  1.48
YCR036W	RBK1	3	  2.04	  2.27
iKx248I		11	  1.00	  0.89
iGx325I		7	  0.68	  0.57
YCL019W		3	  1.30	  1.37
iMx431I		13	  0.81	  0.77
YMR065W	KAR5	13	  1.02	  0.93
YJR100C		10	  0.86	  0.84
YIL125W	KGD1	9	  1.36	  1.08
YML048W	GSF2	13	  0.67	  0.66
YIL082W-A		9	  0.85	  0.81
YOR314W		15	  0.77	  0.67
YCR037C	PHO87	3	  1.30	  1.32
iBx111I		2	  1.04	  1.12
iPx397I				  0.71
iLx474I		12	  1.28	  1.26
iFx034I		6	  0.46	  0.42
YDR262W		4	  1.28	  1.39
iLx140I				  2.01
iPx063I		16	  1.31	  1.40
YML049C	RSE1	13	  0.89	  0.98
iPx129I		16	  0.94	
iLx206I		12	  1.06	  1.17
YNR023W	SNF12	14	  1.05	  1.22
iGx594I		7	  1.17	  1.26
iEx077I		5	  1.06	  0.95
YNL006W	LST8	13	  4.57	  4.39
YHR186C		8	  0.76	  0.87
YDR263C	DIN7	4	  1.96	  2.11
YDL246C				  1.59
iKx183I		11	  0.87	  0.89
iGx260I		7	  0.84	  0.73
YDR329C	PEX3	4	  0.97	  1.03
iKx249I		11	  4.66	  5.62
iGx326I		7	  1.25	  0.99
YIL060W		9	  1.52	  1.49
iMx432I		13	  1.28	  1.30
YMR066W	SOV1	13	  1.01	  1.04
YIL126W	STH1	9	  1.49	  1.62
YNL007C	SIS1	13	  3.32	  2.54
iBx380I		2	  0.97	  1.11
YOR315W		15	  1.29	  1.22
YDL180W		4	  0.73	  0.71
YCR038C	BUD5	3	  1.11	  1.10
YIL061C	SNP1	9	  0.90	  0.74
iPx398I		16	  0.87	  0.72
iLx475I		12	  0.44	  0.38
iFx035I		6	  2.26	  2.58
iBx112I		2	  1.18	  1.15
YMR067C		13	  1.62	  1.67
iPx064I		16	  1.45	  2.22
iLx141I		12	  0.73	  0.76
YIL127C		9	  0.59	  0.63
YOR250C	CLP1	15	  0.54	  0.58
YNL275W		14	  1.17	
iLx207I		12	  0.67	  0.68
YOR316C	COT1	15	  0.91	  1.07
YJR101W		10	  0.98	  0.93
YNR024W		14	  1.85	  1.78
iGx595I		7	  0.72	  0.72
iEx078I		5	  0.61	  0.50
YDR264C	AKR1	4	  1.07	  0.86
iKx184I		11	  0.92	  0.98
iGx261I		7	  0.58	  0.52
YNL276C		14	  0.94	  0.96
iGx327I		7	  0.97	  1.33
iMx433I		13	  1.04	  1.01
YNR025C		14	  1.73	  1.99
YJR102C		10	  0.64	  0.66
YNL008C		14	  4.72	  4.95
iBx381I		2	  1.25	  1.42
YDL181W	INH1	4	  0.55	  0.43
YCR039C	MATALPHA2	3	  1.19	  1.28
YIL062C	ARC15	9	  0.60	  0.50
iPx399I		16	  0.66	  0.52
iLx476I		12	  0.44	  0.55
iFx036I		6	  0.93	  0.79
iDx630I		4	  0.45	
iBx113I		2	  4.91	  5.59
YHR187W	IKI1	8	  0.60	  0.66
YDL247W		4	  0.85	  0.73
iPx065I		16	  0.94	  0.81
iLx142I		12	  0.94	  0.84
YOR251C		15	  0.95	  0.91
iLx208I		12	  0.96	  1.03
iAx090I		1	  1.18	  1.38
iGx596I		7	  0.55	  0.53
iEx079I		5	  0.85	  0.76
YHR188C		8	  0.83	  0.81
iKx185I		11	  0.86	
iGx262I		7	  0.79	  0.75
iGx328I		7	  1.75	  1.70
YJL020C		10	  1.09	  1.09
YMR068W				  0.56
iMx434I		13	  0.56	  0.59
YNR026C	SEC12	14	  1.08	  1.14
YIL128W	MET18	9	  0.51	  0.49
iMx100I		13	  0.83	  0.85
iBx382I		2	  0.96	  1.07
YOR317W	FAA1	15	  0.63	  0.64
YDL182W	LYS20	4	  0.71	  0.62
YIL063C	YRB2	9	  1.03	  1.14
iLx477I		12	  0.56	  0.53
iDx631I		4	  0.44	  0.44
iBx114I		2	  1.31	  1.14
iFx037I		6	  0.75	  0.81
YDR265W	PEX10	4	  0.82	  0.87
YDL248W	COS7	4	  0.97	  1.08
iPx066I		16	  0.67	  0.74
iLx143I		12	  1.56	
iHx220I		8	  0.70	  0.66
YIL129C	TAO3	9	  0.83	  1.01
YNL277W	MET2	14	  0.70	  0.65
iLx209I		12	  0.72	  0.69
iAx091I		1	  2.80	  3.36
YOR318C		15	  1.07	  1.14
YJR103W	URA8	10	  0.97	  0.86
YDL183C		4	  0.66	  0.53
iGx597I		7	  2.43	  2.62
YNL009W	IDP3	14	  5.11	  5.37
YDR266C		4	  0.72	  0.74
iKx186I		11	  0.57	  0.49
iGx263I		7	  1.28	  1.23
iGx329I		7	  1.66	  1.93
YJL021C		10	  1.62	  1.44
iMx435I		13	  0.65	  0.58
YMR069W		13	  0.53	  0.50
YJR104C	SOD1	10	  0.67	  0.74
iMx101I		13	  1.19	  1.12
YOR252W		15	  0.80	  0.72
iBx383I		2	  1.40	  1.22
iFx038I		6	  0.49	  0.48
iDx632I		4	  0.47	  0.49
iBx115I		2	  0.74	  0.80
iLx478I		12	  0.92	  0.93
YHR189W		8	  0.61	  0.57
iPx067I		16	  0.73	  0.53
iLx144I		12	  1.11	  1.01
iHx221I		8	  0.98	  1.01
YNL278W		14	  0.86	  0.73
iAx092I		1	  3.56	  4.00
YNR027W		14	  0.61	  0.62
YDL184C	RPL41A	4	  0.82	  0.80
iGx598I		7	  0.65	
YDR267C		4	  0.53	  0.51
iKx187I		11	  1.25	  1.25
iGx264I		7	  0.91	  0.87
iMx370I		13	  0.80	  0.86
YIL064W		9	  0.89	  0.89
iMx436I		13	  0.56	
iMx102I				  1.08
YOR253W		15	  0.97	  0.98
iBx384I		2	  1.24	  1.33
YOR319W	HSH49	15	  0.74	  0.70
iBx050I		2	  0.97	  1.02
YIL065C		9	  0.61	  0.61
iLx479I		12	  0.66	  0.93
iFx039I		6	  1.93	  1.99
iDx633I		4	  0.67	  1.02
iBx116I		2	  2.11	  2.14
iPx068I		16	  0.62	  0.49
iLx145I		12	  0.55	
iHx222I		8	  1.01	  1.22
YOR254C	SEC63	15	  0.76	  0.71
YNL279W		14	  0.55	  0.53
YJL022W		10	  1.17	  1.14
iAx093I		1	  1.67	  1.81
YNR028W	CPR8	14	  1.57	  1.43
YJR105W		10	  0.86	  0.76
iGx599I		7	  0.88	  0.76
iKx188I		11	  0.53	  0.41
iGx265I		7	  0.81	  0.79
iMx371I		13	  0.54	  0.50
YJL023C	PET130	10	  1.46	  1.19
iMx437I		13	  0.50	  0.44
YNR029C		14	  1.52	  1.52
iMx103I		13	  1.14	  1.10
iBx385I		2	  0.63	  0.57
iBx051I		2	  0.94	  0.96
YDL185W	TFP1	4	  0.92	  0.87
YER160C		5	  1.35	  0.97
iLx080I		12	  2.58	  2.82
YIL066C	RNR3	9	  0.99	  1.04
iDx634I		4	  1.01	  1.05
iBx117I		2	  1.48	  1.55
YDR268W	MSW1	4	  0.61	  0.60
iPx069I		16	  0.85	  0.72
iLx146I		12	  1.02	  0.89
iHx223I		8	  0.75	  0.70
iDx300I		4	  0.66	  0.64
YJR040W	GEF1	10	  1.67	  1.75
iAx094I		1	  1.67	  1.98
YJR106W	ECM27	10	  0.75	  0.79
YDR269C		4	  0.59	  0.52
iKx189I		11	  0.58	
iGx266I		7	  0.93	  0.85
iMx372I		13	  0.47	  0.54
YJR041C		10	  1.23	  1.24
YJL024C	APS3	10	  1.95	  2.19
iMx438I		13	  0.48	  0.52
iMx104I		13	  0.85	  0.82
YOR255W		15	  1.05	  0.99
iBx386I		2	  0.62	  0.64
iBx052I		2	  2.39	  2.50
YDL186W		4	  0.63	  0.49
YER161C	SPT2	5	  0.61	  0.58
iLx081I		12	  1.82	
YIL067C		9	  0.67	  0.67
iBx118I		2	  1.97	  2.10
iDx635I		4	  1.06	  1.08
iLx147I		12	  0.78	
iHx224I		8	  0.48	  0.45
iDx301I		4	  1.01	  1.06
YOR256C		15	  0.60	  0.64
iNx330I		14	  3.11	  2.84
iAx095I		1	  1.61	  1.70
YJR107W		10	  0.98	  0.95
YPL130W	SPO19	16	  1.19	  1.21
YDL187C		4	  0.70	  0.55
iGx267I		7	  0.71	
iCx010I		3	  1.05	  1.18
iMx373I		13	  0.61	  0.53
YOR190W	SPR1	15	  0.68	
iMx439I		13	  0.49	  0.49
iMx105I		13	  1.10	  0.94
iBx387I		2	  0.86	  0.82
iDx570I		4	  1.07	  1.07
iBx053I		2	  0.77	  0.74
YER162C	RAD4	5	  0.58	  0.56
iLx082I		12	  2.61	  2.48
YIL068C	SEC6	9	  0.85	  0.90
iDx636I		4	  2.08	  2.23
iBx119I		2	  1.25	  1.49
YHR214C-B		8	  1.36	  1.18
iLx148I		12	  0.65	  0.46
iHx225I		8	  0.77	  0.71
iDx302I		4	  0.83	  0.88
iNx331I		14	  0.99	  1.01
YJR042W	NUP85	10	  0.90	  1.03
iAx096I		1	  1.38	  1.42
YJR108W	ABM1	10	  1.06	  1.11
YPL131W	RPL5	16	  0.78	  0.58
YDL188C	PPH22	4	  0.98	  1.08
iGx268I		7	  0.92	  0.98
iCx011I		3	  1.18	  1.26
iMx374I		13	  1.08	  0.93
YJR043C	POL32	10	  1.37	  1.35
iMx040I		13	  0.74	
YOR191W	RIS1	15	  0.72	  0.79
YJR109C	CPA2	10	  0.97	  0.86
iMx106I		13	  0.89	  0.84
YOR257W	CDC31	15	  0.55	  0.51
iBx388I		2	  0.46	  0.58
iDx571I		4	  0.62	  0.51
iBx054I		2	  0.80	  0.74
YER163C		5	  0.40	  0.39
iLx083I		12	  2.98	  3.07
iHx160I		8	  0.64	  0.71
YIL069C	RPS24B	9	  1.09	  0.88
iDx637I		4	  0.54	  0.62
YOR192C		15	  1.37	  1.50
iLx149I		12	  1.12	
iHx226I		8	  0.71	
iDx303I		4	  0.90	  0.81
iNx332I		14	  0.68	
YKR001C	VPS1	11	  7.92	  8.74
YJL026W	RNR2	10	  0.77	
iAx097I		1	  1.68	  1.97
YPL132W	COX11	16	  0.52	  0.42
iGx269I		7	  0.87	  0.82
iMx375I		13	  0.75	  0.71
iCx012I		3	  1.01	  1.07
YJR044C		10	  1.14	  1.08
iMx041I		13	  1.53	  1.54
YJL027C		10	  0.94	
YPL133C		16	  0.47	  0.41
iMx107I		13	  0.66	  0.71
YOR258W		15	  0.81	  0.75
iBx389I		2	  0.84	  0.90
iDx572I		4	  1.32	  1.46
iBx055I		2	  0.45	  0.43
YDL189W		4	  0.98	  0.92
iLx084I		12	  4.26	  4.48
iHx161I		8	  0.50	  0.50
iDx638I				  0.63
iHx227I		8	  1.35	  1.13
iDx304I		4	  0.75	  0.70
YOR259C	RPT4	15	  0.46	  0.44
iNx333I		14	  1.16	  1.39
iAx098I		1	  2.31	  2.58
YPR150W		16	  1.36	  1.62
iMx376I		13	  0.87	  0.88
iCx013I		3	  1.01	  1.14
YER164W	CHD1	5	  0.60	  0.65
YJR045C	SSC1	10	  1.00	  1.00
iMx042I		13	  0.91	  0.84
YOR193W		15	  1.15	  1.12
YPR151C		16	  1.59	  1.76
YPL134C		16	  0.74	  0.73
iMx108I		13	  0.94	  1.18
YKR002W	PAP1	11	  2.99	  2.97
iDx573I		4	  1.71	  2.00
iBx056I		2	  1.23	  1.41
iLx085I				  2.45
iHx162I		8	  1.10	  1.06
iDx639I		4	  0.52	  0.42
YOR194C	TOA1	15	  0.82	  0.84
iHx228I				  0.89
iDx305I		4	  1.08	  1.08
iNx334I		14	  4.93	
iAx099I		1	  1.76	  1.83
YJL028W		10	  1.01	  0.84
iMx377I		13	  4.76	  4.29
iCx014I		3	  1.24	  1.25
YER165W	PAB1	5	  0.52	  0.49
YJL029C				  1.76
iOx560I		15	  0.91	  0.79
iMx043I		13	  0.52	
iIx120I		9	  0.76	
YPR152C		16	  0.63	  0.60
iMx109I		13	  1.24	  1.41
YKR003W		11	  5.10	  5.84
iDx574I		4	  0.52	  0.55
iBx057I		2	  0.46	  0.41
iLx086I		12	  1.24	  1.23
iHx163I		8	  0.54	  0.43
iDx240I		4	  2.33	  2.39
iHx229I		8	  0.79	  0.78
YFL040W		6	  1.39	  1.43
YBR200W	BEM1	2	  0.63	  0.47
iNx335I		14	  0.83	  0.85
YJR046W	TAH11	10	  0.65	  0.65
YKR004C	ECM9	11	  5.06	  6.40
iNx001I		14	  1.34	  1.26
YPL135W	ISU1	16	  0.78	  0.82
iMx378I		13	  1.35	  1.26
iCx015I		3	  0.54	  0.65
YER166W		5	  1.31	  1.46
YJR047C	ANB1	10	  0.64	  0.56
iOx561I		15	  0.57	  0.58
iMx044I		13	  1.36	  1.17
iIx121I		9	  0.71	
YOR195W	SLK19	15	  0.89	  0.89
iDx575I		4	  0.75	
iBx058I		2	  0.74	  0.69
iLx087I		12	  1.68	  1.45
iHx164I		8	  0.50	
iDx241I		4	  1.39	  1.47
YOR196C	LIP5	15	  1.03	  1.06
iNx270I		14	  1.61	  1.53
iDx307I		4	  0.57	  0.55
YFL041W	FET5	6	  0.97	
YBR201W	DER1	2	  0.81	  0.64
iNx336I		14	  0.90	  0.88
YPL070W		16	  1.23	  1.21
YKR005C		11	  2.92	  3.30
iNx002I		14	  1.86	  1.69
YPR153W		16	  0.68	  0.62
YLR230W		12	  0.58	  0.57
YPL136W				  0.59
YFL042C		6	  0.76	  0.76
iMx379I		13	  0.76	  0.69
iCx016I		3	  0.86	  0.97
YER167W	BCK2	5	  1.13	  1.19
YKL190W	CNB1	11	  0.71	  0.75
YPL071C		16	  0.64	  0.63
iIx122I				  0.83
iOx562I		15	  0.91	  0.89
iMx045I		13	  0.82	  0.86
YLR231C		12	  0.77	  0.70
YPL137C		16	  0.84	  0.76
iDx576I				  0.53
iBx059I		2	  0.80	  0.75
YER168C	CCA1	5	  1.87	  1.94
iLx088I		12	  1.97	  2.12
iHx165I		8	  0.96	  0.82
iDx242I		4	  1.10	  1.22
iNx271I		14	  1.28	
iDx308I		4	  1.37	  1.37
YBR202W	CDC47	2	  0.77	  0.67
iNx337I		14	  1.23	  1.52
YJR048W	CYC1	10	  0.69	  0.71
YKR006C	MRPL13	11	  2.88	  3.39
iNx003I		14	  1.66	  1.35
YPR154W		16	  1.56	  1.46
YFL043C		6	  0.84	  0.90
iCx017I		3	  0.54	  0.59
YKL191W	DPH2	11	  0.74	  0.61
YJR049C	UTR1	10	  0.94	  0.74
iOx563I		15	  0.66	  0.61
iMx046I		13	  0.64	  0.56
iIx123I		9	  0.42	  0.45
iEx200I		5	  0.92	  0.83
YOR197W		15	  0.95	  0.92
YPR155C	NCA2	16	  1.85	  2.27
YPL138C				  0.77
iDx577I		4	  0.71	  0.69
YKL192C	ACP1	11	  0.55	  0.51
iLx089I		12	  1.21	  1.20
iHx166I		8	  0.68	  0.67
iDx243I		4	  2.92	  3.21
YOR198C	BFR1	15	  0.70	  0.75
iNx272I		14	  0.62	  0.67
iDx309I		4	  0.93	  0.92
YGL001C		7	  7.45	  7.83
YBR203W		2	  0.85	  0.86
iNx338I		14	  1.70	  1.86
YPL072W	UBP16	16	  0.82	  0.80
iPx521I		16	  1.32	
iNx004I		14	  1.06	  0.87
YLR232W		12	  0.67	  0.67
YFL044C		6	  0.60	  0.59
iCx018I		3	  0.59	  0.58
YER169W	RPH1	5	  0.69	  0.62
YBR204C		2	  1.28	  1.19
YPL073C		16	  0.76	  0.78
iMx047I		13	  0.83	
iIx124I		9	  0.90	  0.93
iEx201I		5	  1.25	  1.15
YPR156C		16	  0.66	  0.74
YLR233C	EST1	12	  0.56	  0.58
iOx230I		15	  1.39	  1.42
