INAME	GENE	CHROMO	SIMR_UP2_226	SIMR_UP2_187FR
iNx007I			0.78	1.06
YPR158W			1.1	1.39
YBR141C			0.55	2.01
iIx061I			0.58	1.27
YPR093C			0.76	1.23
YLR170C	APS1		0.56	2.15
YKL195W			1.35	0.9
iOx567I			3.93	0.24
iIx127I			0.71	1.14
iEx204I			0.48	1.83
YLR236C			0.45	1.81
YGR021W			0.88	1.46
iOx233I			0.53	
iKx310I			1.27	0.6
iDx181I			1.53	0.76
YKL196C	YKT6		0.54	1.79
iDx247I			3.58	0.29
iNx276I			0.6	1.45
iJx353I			1.14	0.9
YFL047W			1.22	0.92
YGR022C			0.95	0.95
YGL005C			5.28	0.22
YBR207W	FTH1		2.44	0.58
YPL076W	GPI2		0.42	2.09
iPx525I			1.22	0.64
iNx008I			1.21	0.92
YPR159W	KRE6		0.82	1.43
iIx062I			1.37	0.85
YGR290W			0.65	1.24
YFL048C	EMP47		1.69	0.59
YBR208C	"DUR1,2"		1.26	0.59
YPL077C			0.48	1.88
iOx568I			0.73	1.08
iIx128I			0.56	1.29
iEx205I			0.58	1.99
iOx234I			0.63	1.36
iKx311I			3.21	0.31
YML111W	BUL2		0.92	1.45
iDx182I			1.25	0.9
YGR291C			0.66	1.47
YKL197C	PEX1		0.63	1.55
iDx248I			1.98	0.5
YBR142W	MAK5		1.13	0.9
iNx277I			1.31	0.56
iJx354I			0.91	1.17
YCR100C			0.72	1.4
iJx020I				1.92
iPx460I			0.44	1.48
YPR094W			0.86	1.02
YLR171W			0.55	1.95
iPx526I			0.57	1.26
iNx009I			1.26	0.97
YLR237W	THI7		0.99	1.3
YBR143C	SUP45		1.3	0.81
iIx063I			0.65	1.35
iEx140I			0.65	1.22
YPR095C	SYT1		0.66	0.87
YLR172C	DPH5		0.45	1.77
YPL078C	ATP4		1.06	1.07
iOx569I			0.38	1.74
iIx129I			3.68	0.26
iEx206I			0.67	1.22
YGR023W	MTL1		1.54	0.78
iOx235I			1.25	0.84
iKx312I			1.46	0.72
YGL006W	PMC1		4.23	0.27
YML112W	CTK3		0.49	2.34
iDx183I			0.84	1.33
YKL198C	PTK1		0.61	1.83
iDx249I			3.87	0.25
YBL060W			0.49	1.72
iNx278I			0.47	1.6
iJx355I			0.84	0.94
YCR101C			0.57	1.77
YFL049W			0.72	1.08
YGR024C			1.65	0.62
iPx461I				0.96
iJx021I			0.58	1.65
YBR209W			0.7	1.39
iPx527I			0.65	1.26
YLR238W			0.93	1.46
YBL061C	SKT5		1.74	0.66
YBR144C			0.43	2.04
YGR292W				0.72
iIx064I			1.82	0.42
iEx141I			3.64	0.2
YPR096C			1.09	0.58
iOx170I			3.03	0.34
iEx207I			1.07	0.56
YLR239C			1.04	1.21
iOx236I			0.58	1.98
iKx313I			2.06	0.52
YGL007W			0.42	1.86
YMR130W			3.67	0.28
YML113W	DAT1		0.45	1.94
iDx184I			1.41	0.69
YGR293C			1.42	0.86
iJx290I			0.51	1.36
YKL199C	YKT9		0.69	1.46
iNx279I			0.54	1.58
iJx356I			0.49	2.07
YCR102C			0.95	1.24
iPx462I			0.45	1.72
iJx022I			0.66	1.5
YLR173W			0.52	1.88
YGL008C	PMA1		0.93	1.59
YMR131C			2.05	0.48
YPL079W	RPL21B		1.22	1.1
YML114C			0.55	1.77
iPx528I			0.39	1.84
iIx065I			0.61	1.83
iEx142I			0.46	1.18
iOx171I			2.45	0.56
iEx208I			2.1	0.36
iOx237I			0.65	1.49
iKx314I			0.53	2.05
YGR025W			1.46	0.63
iDx185I			1.12	0.94
iJx291I			0.83	0.69
YBL062W			1.86	0.53
YBR145W	ADH5		0.37	1.84
iJx357I			0.66	1.46
YCR103C			1.65	0.96
YPR097W				1
iPx463I			1.03	1.25
iLx540I			2.66	0.39
iJx023I			0.5	1.77
iFx100I			2.17	0.33
YLR174W	IDP2		0.89	1.38
YGL009C	LEU1		1.77	0.75
YMR132C			0.61	1.58
YML115C	VAN1		1.69	0.65
iPx529I			0.66	1.41
YBR080C	SEC18		0.47	1.93
iIx066I			0.43	1.72
iEx143I			0.62	1.36
YGR294W			1.97	0.81
YPR098C			0.96	0.79
iOx172I			2.13	0.67
iEx209I			0.75	1.18
YCL020W			1	1.35
iOx238I			0.53	1.71
iKx315I			0.45	2.03
YGR026W			2.67	0.43
iDx186I			1.29	0.72
YGR295C	COS6		1.17	1.13
iJx292I			1.29	0.92
YBL063W	KIP1		1.36	0.7
YBR146W	MRPS9		0.44	2.09
iJx358I			2.22	0.49
YGR027C	RPS25A		1.3	0.76
iPx464I			0.47	2.02
iLx541I			2.04	0.43
iJx024I			0.46	1.86
iFx101I			0.92	0.99
YLR175W	CBF5		1.41	0.94
iPx130I			0.49	1.94
YBR081C	SPT7		0.65	1.3
YBL064C			0.43	1.87
iIx067I			0.52	1.62
iEx144I			1.13	0.75
YLR176C	RFX1		1.6	0.76
YPR099C			0.96	1.02
iOx173I			1.09	0.68
iKx250I			1.54	0.8
YCR104W	PAU3		1.9	0.78
iOx239I			0.54	1.19
iKx316I			0.53	1.9
YML050W			2.57	0.41
YMR133W	REC114		0.54	1.88
iDx187I			0.78	1.42
YML116W	ATR1		2.53	0.49
iJx293I			1	0.5
YCL022C			0.87	0.95
iJx359I			1.84	0.69
YBR147W			0.59	1.6
YDR330W			0.5	2.47
iPx465I			0.43	1.97
iLx542I			0.58	1.3
iJx025I			2.33	0.43
iFx102I			0.68	1.06
iPx131I			0.51	1.78
YBR082C	UBC4		0.4	2.37
iIx068I			0.84	1.45
iEx145I			0.47	1.23
YGR296W	YRF1-3		0.83	1.06
iOx174I			1.07	0.86
iKx251I			2.82	0.34
YCR105W			0.71	1.4
iKx317I			0.56	1.68
YML051W	GAL80		1.04	0.92
YGR028W	MSP1		1.64	0.72
iMx500I			0.8	1.26
YMR134W			0.67	1.32
iDx188I			0.47	2.11
YML117W			0.73	1.37
iJx294I			2.07	0.44
YBL065W			0.59	1.41
YCL023C			0.61	1.29
YBR148W	YSW1		1.07	0.72
YDR331W	GPI8		0.61	2
iPx466I			0.88	0.93
iLx543I			0.7	1.77
iJx026I			0.69	1.25
iFx103I			0.59	1.29
YLR177W			0.92	1.03
YMR135C			0.64	1.29
iPx132I			0.51	1.65
iEx080I			1.03	1.05
YBL066C	SEF1		1.38	0.57
iIx069I			1.76	0.58
iEx146I			0.7	0.91
YLR178C	TFS1		1.19	0.88
YCR040W	MATALPHA1		1.6	0.76
iKx252I			2.37	0.51
YCR106W			0.64	1.61
iKx318I			0.59	2.02
YGR029W	ERV1		1.45	0.6
YML052W	SUR7		0.58	1.67
iMx501I			0.41	2.23
iDx189I			0.8	0.96
YML118W			0.47	2.22
YBR083W	TEC1		0.48	1.62
iJx295I			2.61	0.44
YBR149W	ARA1		2.15	0.44
YML053C			0.8	1.29
YDR332W			1.68	0.81
iPx467I			0.69	0.93
iLx544I			0.5	1.86
iJx027I			0.93	1.07
iFx104I			0.78	1.69
iPx133I			0.39	2.06
iLx210I			0.74	1.1
YNL010W			1.86	0.53
iEx081I			0.73	1.38
YBL067C	UBP13		1.32	0.57
YHR039C-B	VMA10		0.81	0.96
iEx147I			0.58	1.83
YLR179C			0.8	1.3
YDR333C			1.28	0.99
YCR041W			1.59	0.9
iGx330I			1.1	1.65
iOx176I			0.52	1.82
iKx253I			1.7	0.37
YCL024W			0.7	1.13
YMR070W	MOT3		1.07	1.15
YCR107W	AAD3		0.92	1.36
YIL130W				0.81
iKx319I			0.77	1.2
iMx502I			0.66	1.96
YMR136W	GAT2		1.01	1.1
YML119W			0.45	2.22
iJx296I			1.06	0.64
YBR084W	MIS1		1.57	0.6
YCR042C				1.16
YHR190W	ERG9		0.6	1.61
YCL025C	AGP1		0.61	1.5
YMR071C			1.32	0.63
YML054C	CYB2		0.6	1.55
YIL131C	FKH1		0.39	1.94
iPx468I			0.52	1.42
iLx545I			0.41	1.91
iJx028I			1.07	0.8
iFx105I			0.4	1.93
YMR137C	PSO2		1.04	1.14
iPx134I			3.95	0.24
iLx211I			0.58	1.71
YOR320C			1.35	0.86
iEx082I			0.89	1.13
YHR191C	CTF8		0.75	1.6
iGx331I			1.13	1.58
iOx177I			1.62	0.59
iKx254I			1.68	0.4
iMx503I			0.57	1.66
iJx297I			1.12	0.74
YBR085W	AAC3		0.69	1.33
YCR043C			0.42	1.73
YBL068W	PRS4		1.6	0.56
iLx480I			0.49	1.71
iFx040I			0.56	1.78
YIL132C			0.42	1.77
YDR334W				0.62
iPx469I			0.77	1.23
iLx546I			0.36	1.7
iJx029I			0.56	1.38
iFx106I			1.42	0.66
iDx700I			5.23	0.24
iPx135I			1.47	0.59
iLx212I			0.56	1.55
YBR086C	IST2		0.79	1.51
YNL012W	SPO1		2.35	0.47
iEx149I			0.86	1.44
iKx255I			1.75	
iOx178I			3.08	0.24
iGx332I			1.46	0.69
YDR001C	NTH1		2.33	0.37
YMR072W	ABF2		1	0.92
YML055W	SPC2		0.51	1.69
iMx504I			0.72	1.11
YMR138W	CIN4		0.45	2.25
YOR321W	PMT3		1.39	0.66
iJx298I			0.61	1.33
YCR044C			0.51	2.11
YBL069W	AST1		0.71	1.3
iLx481I			0.9	1.09
iFx041I			1.51	0.62
YHR192W			0.77	1.29
YMR073C			0.86	1.12
iPx070I			1.62	0.64
YML056C			1.95	0.7
YIL133C	RPL16A		0.8	1.28
iLx547I			3.17	0.31
iFx107I			1.33	0.66
iDx701I			0.55	1.33
YDR335W	MSN5		1.07	1.02
YNL281W	HCH1		0.95	1.06
iPx136I			0.66	1.34
iLx213I			3.6	0.26
YOR322C			1.44	0.85
YNR030W	ECM39		2.89	0.44
iEx084I			2.32	0.41
YHR193C	EGD2		0.7	1.22
iKx190I			2.81	0.27
iOx179I			2.81	0.37
iKx256I			6.3	0.2
iGx333I			1.01	0.96
YCL027W	FUS1		1.01	0.96
iMx505I			1.4	0.86
YMR139W	RIM11		0.44	2.13
iJx299I			0.74	1.03
YBR087W	RFC5		0.81	1.3
YCR045C			0.62	1.36
YDR270W	CCC2		0.8	1.52
iLx482I			0.65	1.48
YMR074C			0.65	1.52
iPx071I			4.28	0.23
iFx108I			1.37	0.75
iLx548I			0.84	1.05
iDx702I			0.47	1.57
YDR336W			1.55	
YNL282W	POP3		0.68	1.62
YDR002W	YRB1		1.59	0.69
iPx137I			1.35	0.81
iLx214I			0.44	1.76
YOR323C	PRO2		0.52	1.88
YBR088C	POL30		0.94	1.01
YNL014W			3.1	0.3
iEx085I			1.92	0.62
YDR271C			0.9	0.98
iKx191I			3.42	0.26
YNL283C	WSC2		0.79	1.37
iKx257I			1.73	0.52
iGx334I			0.54	1.22
YCL028W	RNQ1		0.76	1.3
iMx440I			0.51	1.64
YIL134W	FLX1		0.7	1.39
YML057W	CMP2		1.58	0.69
iMx506I			1.03	1.19
YDR179W-A			0.57	1.72
YCR046C	IMG1		1.06	0.85
iBx120I			0.9	0.96
iLx483I			1.32	0.69
iFx043I			0.94	0.96
YHR194W			0.5	2.01
YCL029C	BIK1		0.62	1.45
iPx072I			0.49	1.94
YIL135C			0.95	1.11
iLx549I			3.29	0.41
iFx109I			1.14	0.8
iDx703I			0.43	2.46
YDR337W	MRPS28		2.72	0.31
YDR003W			1.71	0.62
iPx138I				0.74
iLx215I			1.1	0.9
YOR324C			0.48	1.84
YNR032W	PPG1		0.51	2.26
iEx086I			2.18	0.41
YNL015W	PBI2		1.03	0.8
iKx192I			0.65	1.63
YDR338C			2.53	0.43
YNL284C	MRPL10		1.01	1.16
iKx258I			3.31	0.33
iGx335I			0.93	1.06
iMx441I			0.84	1.03
iGx001I			1.4	0.92
YMR075W			2.49	0.41
YML058W	SML1		0.61	1.54
iMx507I			1.56	0.94
YBR089W			1.05	1.14
YCR047C			0.67	1.25
YIL070C	MAM33		0.91	1.25
iBx121I				0.25
iLx484I			4.67	0.18
iFx044I			0.64	1.36
YHR195W	VAB36		0.43	
YDR272W	GLO2		0.71	1.35
YMR076C	PDS5		1.89	
iPx073I			1.19	0.75
iLx150I			1.28	0.69
YML059C			0.78	0.9
iDx704I				1.13
YDR004W	RAD57		4.31	0.21
iPx139I			0.52	1.51
iLx216I			1.43	0.56
YJR110W			0.98	0.89
YNR033W	ABZ1		0.8	1.49
YDL190C	UFD2		1.84	0.62
iEx087I			1.15	0.81
YNL016W	PUB1		0.88	1.04
iKx193I			1.12	0.87
iGx270I			5.39	0.2
YDR339C			0.85	1.18
iKx259I			2.09	0.3
iGx336I			0.5	1.55
YDR005C	MAF1		4.69	0.22
iMx442I			0.57	1.57
iGx002I			1.19	1
YJR111C			1.4	0.64
YIL136W	OM45		1.2	1
YNL017C			1.28	0.97
iMx508I			1.47	0.88
iBx390I			0.57	2.21
YOR325W			0.57	1.76
YIL071C			1.42	0.8
iLx485I			0.52	1.18
iFx045I			0.61	1.24
iBx122I			2.64	0.42
YHR196W			0.44	1.44
YDR273W			0.83	1.13
YMR077C			0.73	1.42
iPx074I			2.39	0.36
iLx151I			0.7	1.01
YIL137C			0.77	1.47
iDx705I			1.68	0.51
YNL285W			2.55	0.53
iLx217I			3.15	0.29
iNx400I			0.84	1.2
YNR034W	SOL1		1.07	1.03
iEx088I			1.23	0.9
YDR274C			0.7	1.14
YPL200W			1.27	0.79
iKx194I			2.04	0.5
iGx271I			0.83	1.03
iGx337I			0.86	1.11
YCR048W	ARE1		0.58	1.63
YDR006C	SOK1		1.48	0.65
iMx443I			2.26	0.54
iGx003I			1.05	0.93
YNR035C	ARC35		1.48	0.75
YOR260W	GCD1		1.22	0.93
YNL018C			0.96	1.15
iMx509I			2.1	0.7
iBx391I			1.13	1.19
YPL201C			0.96	0.97
YOR326W				0.58
YDL191W	RPL35A		2.01	0.54
YCR049C			0.6	1.44
iLx486I			0.51	1.7
iFx046I			3.83	0.32
iDx640I			1.12	1.07
iBx123I			2.35	0.44
YHR197W			2.42	0.46
iPx075I			0.83	0.93
iLx152I			1.43	0.68
YIL138C	TPM2		0.76	1.04
iDx706I				1
YOR261C	RPN8		1.45	0.77
YNL286W	CUS2		1.88	0.51
iLx218I				1.33
YOR327C	SNC2		0.83	0.92
YJR112W				1.18
iNx401I			0.5	
iEx089I			1.17	0.95
YHR198C			2.9	0.37
iKx195I			0.61	1.65
iGx272I			2.2	0.35
iGx338I			0.45	1.22
YIL072W	HOP1		1.91	0.66
iMx444I			2.26	0.38
iGx004I			1.47	0.82
YNR036C			0.66	1.47
YJR113C			0.64	1.21
iMx110I			0.65	1.25
YNL019C			0.77	1.57
iBx392I			0.66	1.55
YPL202C			1.39	0.75
YDL192W	ARF1		0.7	1.67
YIL073C	SPO22		0.82	0.86
iLx487I				0.88
iFx047I			0.58	1.29
iDx641I			2.14	0.52
iBx124I			3.39	0.33
YDR275W			1.66	0.74
iHx230I			1.08	1.26
iPx076I			1.11	0.77
iLx153I			2.87	0.39
YIL139C	REV7		2.1	0.47
iDx707I			0.65	1.42
YNL287W	SEC21		0.91	1.31
YDR007W	TRP1		0.72	1.43
iLx219I			0.52	1.38
YJL030W	MAD2		1.22	0.88
iNx402I			0.65	1.36
YDR276C			1.11	0.89
YHR199C			1.28	0.8
iKx196I			0.77	1.36
iGx273I			1.56	0.55
iGx339I				1.4
YDR008C			0.7	1.39
YJL031C	BET4		2.68	0.33
iMx445I			1.09	0.86
iGx005I			1.49	0.85
YMR079W	SEC14		1.49	0.73
YNR037C			0.6	1.36
iMx111I			0.54	1.53
YOR262W			0.63	2.04
iBx393I			1.98	0.69
YOR328W	PDR10		1.3	0.61
YDL193W			0.61	1.67
YIL074C	SER33		0.86	1.33
iBx125I			1.33	
iDx642I			2.22	0.42
iLx488I			0.94	0.87
iFx048I			0.57	1.63
iPx077I			0.47	1.71
iLx154I			0.98	0.95
iHx231I			0.57	1.43
iDx708I				1.05
YOR263C			0.6	1.49
YNL288W			0.47	2
YOR329C	SCD5		1.94	0.49
iNx403I			0.73	1.09
YJR114W			0.64	1.22
YDR277C	MTH1		1.07	1.09
iKx197I			0.88	1.13
iGx274I			2.79	0.48
YPL203W	PKA3		1.61	0.78
iMx380I			0.92	1.01
iMx446I			1.1	0.83
iGx006I			1.29	1.27
iMx112I			0.96	1.07
iBx394I			0.76	1.41
iBx060I			0.98	0.97
YDL194W	SNF3		0.68	1.31
YIL075C	RPN2		1.57	0.7
iLx489I			0.97	0.97
iFx049I			3.33	0.26
iDx643I			2.29	0.42
iBx126I			4.23	0.26
iPx078I			0.69	1.38
iLx155I			1.02	1.22
iHx232I			1.25	0.66
iDx709I			0.73	1.22
YNL289W	PCL1		0.55	1.88
YDR009W	GAL3		1.21	1.05
YJL032W			2.85	0.26
iNx404I			1.47	0.64
YNR038W	DBP6		2.46	0.45
YJR115W			0.73	
YPL204W				0.96
iKx198I			0.46	1.78
iGx275I			0.96	1.13
iMx381I			0.52	1.91
iMx447I			0.69	1.66
iGx007I			1.26	1.07
YNR039C			2.2	0.49
iMx113I			1.95	0.49
YOR264W			0.75	1.41
iBx395I			0.83	1.36
YPL205C			0.48	1.8
iBx061I			0.76	1.52
YDL195W	SEC31		0.63	1.5
iLx090I			5.09	0.17
iDx644I			0.69	1.47
iBx127I			1.4	0.54
iPx079I			0.42	2.01
iLx156I			0.81	1.13
iHx233I			1.29	0.71
iDx310I			0.48	1.79
YJR050W	ISY1		0.44	1.74
YJL033W	HCA4		2.36	0.43
iNx405I			3	0.25
YJR116W			0.41	1.97
iGx276I			0.69	1.26
iKx199I			0.57	1.72
YER170W	ADK2		0.62	1.56
iMx382I			0.94	0.9
YFL013W-A			0.63	1.46
YIL076W	SEC28		2.17	0.45
iMx448I			0.56	1.42
iGx008I			1.22	0.96
YPL140C	MKK2		0.71	1.63
iMx114I			1.95	0.49
YOR265W	RBL2		0.84	1.16
iBx396I			3.92	0.29
YPL206C			0.63	1.8
iBx062I			1.11	1.18
YDL196W			0.44	1.35
iLx091I			1.81	0.61
YIL077C			1.45	0.75
iDx645I			0.68	1.6
iBx128I			1.61	0.6
YDR279W			0.62	2.01
iLx157I			0.35	1.99
iHx234I			1.81	0.45
iDx311I			0.6	1.35
iNx340I			2.08	0.49
YJR051W	OSM1		0.71	1.8
YJL034W	KAR2		0.78	1.74
iNx406I			0.49	1.63
YJR117W	STE24		1.27	0.81
YDL197C	ASF2		0.45	2.08
YLR300W	EXG1		0.53	1.85
iGx277I			0.4	1.86
iCx020I			1.54	0.82
iMx383I			0.62	1.59
YER171W	RAD3		2.82	0.38
YJL035C	TAD2		0.61	1.81
iMx449I			1	0.77
iGx009I			0.82	1.26
YJR118C	ILM1		1.76	0.51
YPL141C			1.34	0.84
iMx115I			0.59	1.62
YOR266W	PNT1		2.54	0.53
iBx397I			0.94	1.25
iDx580I				0.53
iBx063I			0.81	1.34
YER172C	BRR2		0.89	0.65
iLx092I			1	0.69
iDx646I			1.2	1.13
iBx129I			2.35	0.39
iLx158I			0.43	1.87
iHx235I			0.48	1.31
iDx312I			2.35	0.41
YOR267C			1.27	0.67
iNx341I			2.3	0.4
YJR052W	RAD7		0.6	1.59
YKR010C	TOF2		2.24	0.49
iNx407I			1.59	0.64
YDL198C	YHM1		0.55	1.85
YLR301W			1.05	0.89
iGx278I			0.76	1.2
YPL207W			0.72	1.54
iMx384I			0.79	1.15
iCx021I			1.03	0.96
YIL078W	THS1		1.11	0.89
iMx050I			0.49	1.96
YJR119C			1.07	0.95
iMx116I			0.52	1.73
YLR302C			1.61	0.63
iBx398I			0.57	1.51
iDx581I			1.49	0.57
iBx064I			6.95	0.19
iLx093I			0.49	1.42
iHx170I			1.27	0.82
YIL079C			1.02	1.19
iDx647I			1.73	0.64
iLx159I			3.54	0.34
iHx236I			1.61	0.67
iDx313I			0.71	1.36
YOR268C			0.54	
iNx342I			3.47	0.3
YJR053W	BFA1		0.57	1.87
YJL036W	SNX4		0.6	1.87
YKR011C			0.92	1.26
iNx408I			0.71	1.14
YDL199C			0.76	1.46
iGx279I			7.36	0.14
YPL208W			0.47	2.35
iMx385I			1.73	0.52
iCx022I			0.92	0.98
YER173W	RAD24		0.73	1.35
iMx051I			0.42	1.97
iMx117I			1.24	
iBx399I			0.78	1.22
iOx300I			1.57	
YPL209C	IPL1		0.52	2.25
iDx582I			0.7	1.36
iBx065I			0.74	1.2
YER174C	GRX4		0.86	0.93
iLx094I			0.5	1.43
iHx171I			0.81	1.29
iDx648I			0.54	1.5
iHx237I			0.56	1.52
iDx314I			0.78	1.11
iNx343I			4.44	0.17
YJR054W			0.91	1.24
YKR012C			0.92	1.32
YJL037W			0.46	1.89
YPR160W	GPH1		1.36	0.42
iNx409I			0.75	1.32
YPL143W	RPL33A		1.29	0.8
YLR303W	MET17		2.45	0.43
iMx386I			0.59	1.66
iCx023I			2.71	0.25
iMx052I			1.06	0.92
YJL038C			0.5	1.87
YPR161C	SGV1		1.63	0.64
iMx118I			0.68	1.28
YOR269W	PAC1		2.44	0.44
YLR304C	ACO1		0.94	1.1
iOx301I			0.5	1.92
iDx583I			0.45	1.71
iBx066I			0.5	1.83
YER175C			0.5	2.07
iLx095I			1.07	0.73
iHx172I			0.86	1.09
iDx649I			0.66	1.7
iHx238I			0.54	1.89
iDx315I			0.57	1.36
YER087C-A	SBH1		2.25	0.53
iNx344I			1.65	0.64
YJR055W	HIT1		2.01	0.46
iNx010I			0.76	1.12
YPL144W	SNR17B		0.5	1.78
iMx387I			0.46	1.6
iCx024I			1.29	0.73
YJR056C			0.67	1.15
iOx570I			0.69	1.35
iMx053I			1.98	0.54
iIx130I			0.76	1.21
YJL039C	NUP192		1.32	0.58
YPR162C	ORC4		0.58	1.79
YPL145C	KES1		0.55	2.03
iMx119I			0.88	1.19
YLR305C				1.05
iOx302I			0.75	1.17
YKR013W	PRY2		0.94	1.11
iBx067I			1.6	0.68
iLx096I			0.77	1.08
iHx173I			0.47	
iHx239I			0.49	
iDx316I			0.43	2.11
YBR210W			0.63	1.41
iNx345I			4.01	0.21
YKR014C	YPT52		0.84	1.13
iNx011I			0.54	1.5
YFL051C			0.78	1.48
iMx388I			0.83	1.43
iCx025I			4.11	0.24
YER176W	ECM32		0.55	1.72
YBR211C	AME1		0.5	1.75
YPL080C			0.72	1.38
iOx571I			0.48	1.64
iMx054I			1.67	0.53
iIx131I			0.47	1.52
YPR163C	TIF3		0.62	2.05
YPL146C			1.84	0.61
iOx303I			0.5	2.13
iBx068I			2.74	0.46
iLx097I			0.77	1.33
iHx174I			0.59	1.58
iDx251I			4.14	0.21
iNx280I			0.55	1.39
iDx317I			0.6	1.28
iNx346I			0.73	1.1
YJR057W	CDC8		0.48	1.79
YKR015C			1.12	1.14
iNx012I				1.78
YLR240W	VPS34		0.64	1.86
YLR306W	UBC12		0.57	1.94
iMx389I			2.16	0.41
iCx026I			1.49	0.72
YER177W	BMH1		0.93	1.59
YJR058C	APS2		0.44	1.86
iOx572I			1.06	0.84
iMx055I			3.7	0.31
iIx132I			0.87	0.94
iOx304I			0.67	1.58
YJR094W-A	RPL43B		0.59	1.5
iDx586I			0.83	1.04
iBx069I			0.88	1.31
iLx098I			0.5	1.33
iHx175I			0.53	1.65
iDx252I			1.74	0.69
iNx281I			0.82	0.96
iDx318I			0.66	1.36
YFL052W			0.6	1.54
YBR212W	NGR1		0.6	1.7
iNx347I			1.25	0.79
YPR164W				1.01
iPx530I			1.15	1.2
iNx013I			0.44	2.23
YLR241W			1.18	0.93
YPL147W	PXA1		1.59	0.79
YLR307W	CDA1		1.58	0.76
iCx027I			1.33	0.66
YER178W	PDA1		1.59	0.68
YPL082C	MOT1		0.96	
iOx573I			1.59	0.67
iMx056I			4.35	0.26
iIx133I			0.48	1.7
iEx210I			0.52	1.7
YLR242C	ARV1		1.66	0.59
YPL148C	PPT2		0.97	1.21
YGL010W			2.51	0.52
iOx305I			0.5	1.97
YKR016W			2.94	0.37
iDx587I			0.53	1.96
iLx099I			0.42	1.57
iHx176I			0.6	1.59
iDx253I			1.63	0.69
iNx282I			1.02	1.01
iDx319I			1	0.76
YFL053W	DAK2		0.65	1.65
YBR213W	MET8		0.52	2.05
YGL011C	SCL1		3.09	0.45
iNx348I			2.99	0.31
YJR059W	PTK2		0.49	1.53
YKR017C			3.57	0.33
iPx531I			0.75	2
iNx014I			1.67	0.51
YPR165W	RHO1		0.86	1.4
YLR308W	CDA2		1.25	0.64
YFL054C			1.39	0.68
iCx028I			1.79	0.58
YER179W	DMC1		2.34	0.35
YPL083C	SEN54		2.83	0.44
iOx574I			1.78	0.5
iMx057I			0.67	1.35
iIx134I			0.38	1.67
iEx211I			0.45	1.42
YPR166C	MRP2		0.92	0.9
iOx240I			0.58	1.2
YLR309C	IMH1		1.08	1.02
iOx306I			0.57	1.67
iDx588I			0.45	1.75
YMR200W	ROT1		1.25	0.84
YER019C-A	SBH2		0.56	1.24
iHx177I			1.19	0.92
iDx254I			2.41	0.47
iNx283I			0.91	0.88
iJx360I			0.59	1.71
YBR214W	SDS24		0.64	1.45
iNx349I			0.46	1.79
YKR018C			1.22	1.24
iNx015I			0.67	1.22
YLR243W			1.2	0.76
YMR201C	RAD14		1.32	0.87
YPL149W	APG5		0.92	1.09
iCx029I			1.92	0.64
iOx575I			0.89	1.04
iMx058I			0.57	1.55
iIx135I			0.38	1.93
iEx212I			1.04	0.87
YPR167C	MET16		0.74	1.44
YLR244C	MAP1		1.51	0.71
iOx241I			0.46	1.54
YGL012W	ERG4		2.59	0.53
iOx307I			0.5	1.57
iDx589I			1.22	
iHx178I			0.95	1.05
iDx255I			5.6	0.18
iNx284I			2.9	0.36
iJx361I			0.45	1.52
YFL055W	AGP3		0.83	1.33
YGR030C	POP6		0.64	1.56
YBR215W	HPC2		2.64	0.39
YGL013C	PDR1		2.71	0.38
YPL084W	BRO1		1.9	0.56
YKR019C	IRS4		0.75	1.96
iNx016I			0.47	1.72
YBR150C	TBS1		0.85	0.89
iIx070I			2.96	0.34
YFL056C	AAD6		0.95	0.95
YBR216C			2.16	0.47
iOx576I			0.55	1.59
iMx059I			0.59	1.47
iIx136I			0.43	1.95
iEx213I			2.06	0.37
YLR245C	CDD1		0.77	1.24
iOx242I			0.79	1.07
iOx308I			0.58	2.06
iDx190I			0.62	1.69
YMR202W	ERG2		0.78	0.99
iHx179I			0.39	2.08
iDx256I			3.24	0.32
iNx285I			0.49	1.73
iJx362I			0.55	1.38
YPL085W	SEC16		0.75	
YML120C	NDI1		0.67	1.53
iNx017I			0.58	1.59
YPR168W	NUT2		0.7	1.95
iPx200I			3.4	0.34
iIx071I			0.46	1.43
YFL057C			0.81	0.86
YPL086C	ELP3		0.81	1.35
iOx577I			0.45	2.09
iIx137I			4.11	0.21
iEx214I			1.31	0.52
YGR031W			0.64	1.65
iOx243I			2.19	0.39
iKx320I			0.8	1.22
YGL014W			1.65	0.61
iOx309I			0.45	1.96
iDx191I			1.06	0.9
YMR203W	TOM40		3.06	0.34
YMR031W-A			0.55	1.41
iDx257I			0.83	
YBR151W	APD1		0.54	1.77
iNx286I			0.72	1.46
iJx363I			0.58	1.51
YBR217W	APG12		1.34	0.65
YGL015C			0.97	1.07
YLR180W	SAM1		0.9	1.18
YDR400W			1.97	0.6
iNx018I			0.44	2.04
YPR169W			0.67	1.55
YLR246W	ERF2		1.23	0.69
YMR204C			3.6	0.26
iPx201I			0.68	1.42
iIx072I			1.94	0.53
YLR181C			0.8	1.2
YBR218C	PYC2		0.97	1.15
iOx578I			0.46	1.84
iIx138I			0.44	1.49
iEx215I			0.7	1.31
YLR247C			1.1	0.92
YGR032W	GSC2		1.02	0.66
iOx244I			3.58	0.25
iKx321I			0.86	0.86
YML121W	GTR1		0.99	1.08
iDx192I			0.78	1.3
iDx258I			1.12	1.03
YBR152W	SPP381		0.61	1.53
iNx287I			1.25	0.63
iJx364I			4.83	0.22
